Title,Link,Snippet
Login - Jira Service Management,https://caressc.atlassian.net/servicedesk/customer/user/login,"{""xsrfToken"":""c0d51346c2b5e586aed087c3c1c9657797ccb3b6_lout"",""helpCenterBranding"":{""logoUrl"":""https://api.media.atlassian.com/file/c1cdf4c0-6cf6-4594-a93e ..."
Projects - Smartkargo-CUSTOMER SERVICEDESK,https://smartkargo.atlassian.net/jira/projects,Projects - Smartkargo-CUSTOMER SERVICEDESK
Jira Service Management,https://cashcrusaders.atlassian.net/servicedesk/customer/user/signup?destination=portals,"{""headless"":false,""tourEnabled"":false,""wacLink"":""https://www.atlassian.com/software/jira/service-desk/powered-by?utm_medium=jira-in-product&utm_source=jira_service ..."
Help Center - Jira Service Management - ver.atlassian.net,https://ver.atlassian.net/servicedesk/customer/portals,"{""headless"":false,""tourEnabled"":false,""wacLink"":""https://www.atlassian.com/software/jira/service-desk/powered-by?utm_medium=jira-in-product&utm_source=jira_service ..."
Log in - KPMG Global Studio,https://deliverybackbone.kpmg.com/studio/login.jsp,"Welcome to KPMG Global Studio. U sername. P assword. R emember my login on this computer. Not a member? To request an account, please contact your Jira administrators. Can't access your account? Atlassian Jira Project Management Software. Powered by Atlassian."
Login - Jira Service Management,https://groupecat.atlassian.net/servicedesk/customer/user/login?destination=portals,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Jira Service Management - e-courier.atlassian.net,https://e-courier.atlassian.net/servicedesk/customer/portals,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Jira Service Management,https://neoservicedesk.atlassian.net/servicedesk/customer/portals,Enter your email to log in or sign up. Email address. Next. Powered by Jira Service Management.
Your work - Smartkargo-CUSTOMER SERVICEDESK,https://smartkargo.atlassian.net/jira/your-work,Your work - Smartkargo-CUSTOMER SERVICEDESK
Entrar - Jira Service Management,https://cvccorp.atlassian.net/servicedesk/customer/portals,Insira o e-mail para entrar ou se inscrever. Endereço de e-mail. Próximo. Desenvolvido por Jira Service Management.
Jira Service Management - njdeptofhealth.atlassian.net,https://njdeptofhealth.atlassian.net/servicedesk/customer/portals,"{""headless"":false,""tourEnabled"":false,""wacLink"":""https://www.atlassian.com/software/jira/service-desk/powered-by?utm_medium=jira-in-product&utm_source=jira_service ..."
Login - Jira Service Management,https://syntqsupport.atlassian.net/servicedesk/customer/portals,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Service Management - United Service Organizations,https://jira.uso.org/servicedesk/customer/user/login?destination=portals,"{""xsrfToken"":""BC7K-GEFD-8T3M-LGIX_4ca99faae2f37117cfd43b8454cdfd5927820e3d_lout"",""helpCenterBranding"":{""headerBGColor"":""#002147"",""headerLinkColor"":""#ffffff ..."
How to hide a project from the Customer Portal? - Atlassian Community,https://community.atlassian.com/t5/New-to-Jira-Service-Management/How-to-hide-a-project-from-the-Customer-Portal/qaq-p/700739,I didn't find a solution from JIRA but you can: - Go to 'customize Portal' and highlight only the project/s that you want to show so customers won't see directly anothers projects. (the have to click in 'show more' to see it) - Also you have to hide the request of the project you want to hide so the customer will be unable to create issues.
Service Desk SEA - Jira Service Management,https://sea.atlassian.net/servicedesk/customer/portals,Service Desk SEA - Jira Service Management. Service Desk SEA. Fazer login.
Login - Jira Service Management,https://ecsiproduct.atlassian.net/servicedesk/customer/portals,Enter your email to log in or sign up. Email address. Next. Powered by Jira Service Management.
Help! - IntouchCX,https://247intouch.zendesk.com/hc/en-us/articles/360042241571-Help-,"This method should only be used if the agent's Team Leader can't be reached via methods above. Hangouts (IT Service Desk 24-7) Email (itservicedesk@24-7intouch.com) Phone call (1-800-586-0851) ITSD Jira Ticket (If they have Jira access) Slack. When troubleshooting on your own doesn't fix the issue, reach out for assistance. Contact your ..."
Login - Jira Service Management,https://vensure.atlassian.net/servicedesk/customer/user/login?destination=portals,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Login - Jira Service Management,https://29022131.atlassian.net/servicedesk/customer/portals,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Digital Victoria Help Centre - Jira Service Management,https://digital-vic.atlassian.net/servicedesk/customer/portals,"{""xsrfToken"":""ba604cc71e6516b5b377e8c288df57656d139b95_lout"",""helpCenterBranding"":{""logoId"":"""",""isLogoAvailable"":false,""helpCenterTitle"":""Welcome to the Digital ..."
Login - Jira Service Management,https://fruugo.atlassian.net/servicedesk/customer/portal/1,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Callaway Brands Help Center - Jira Service Management,https://callawaybrands.atlassian.net/servicedesk/customer/portals,"{""xsrfToken"":""45006356586fa9e13faf1c805156faf1942027ca_lout"",""helpCenterBranding"":{""logoId"":"""",""isLogoAvailable"":false,""helpCenterTitle"":""Callaway Brands Corporate ..."
Jira Service Management - cg-support.atlassian.net,https://cg-support.atlassian.net/servicedesk/customer/portals,Caregiver Help Center - Jira Service Management. Caregiver Help Center.
Jira Service Management,https://mocssupport.atlassian.net/servicedesk/customer/portals,"{""xsrfToken"":""45a2a3f3013264e180d5ac6e3ffffe37ca3bd6e5_lout"",""helpCenterBranding"":{""logoId"":"""",""isLogoAvailable"":false,""helpCenterTitle"":""Welcome to the Help Center ..."
Login - Jira Service Management,https://aveanna.atlassian.net/servicedesk/customer/portals,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Login - Jira Service Management,https://questsoftware.atlassian.net/servicedesk/customer/portals,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Technical Support - LinkLive,https://customersuccess.revation.com/css/technical-support,"Technical Support Hierarchy. LinkLive Technical Support works in a tiered environment to ensure all customer engagements are addressed in the timeliest manner available: Tier 1 engages on all Support cases - they are responsible for all service requests, engaging on high-priority incidents and initial troubleshooting for complex engagements."
Login - Jira Service Management,https://eapexpert.atlassian.net/servicedesk/customer/user/login?destination=portals,Login - Jira Service Management. EAP Expert Service Desk. Powered by Jira Service Management.
Login - Jira Service Management,https://camsonline.atlassian.net/servicedesk/customer/user/login?destination=portals,Enter your email to log in or sign up. Powered by Jira Service Management.
JIRA Service Desk 3.6.2 - Atlassian,https://docs.atlassian.com/jira-servicedesk/REST/3.6.2/,"JIRA Service Desk 3.6.2. This is the reference document for the REST API and resources provided by JIRA Service Desk. The REST APIs are for developers who want to integrate JIRA Service Desk with other applications, and for administrators who want to script configuration interactions with JIRA Service Desk. JIRA Service Desk is built upon the ..."
Jira Service Desk | IT Service Desk & ITSM Software - Atlassian,https://www.atlassian.com/software/jira/service-management/features/service-desk,"Jira Service Management chat users can create a two-way sync between conversations in Slack or Microsoft Teams and Jira Service Management. Employees never have to leave Slack to get the help they need, and agents get all the information they need right in Jira Service Management. Jira Service Desk has revolutionized how we do IT."
회사소개,https://www.raonsecure.com/ko/about/company,"라온시큐어. 라온시큐어는 모바일 보안∙인증 분야 선도기업으로 금융, 공공, 국방 등 다양한 분야에서 쌓아온 노하우와 레퍼런스를 바탕으로 고객에게 안전하고 편리한 디지털 환경을 제공하고 있습니다. 국내 PKI 암호화 기술을 선도하며 보안 인증 시장의 ..."
Using the help center - Atlassian Documentation,https://confluence.atlassian.com/servicemanagementserver/using-the-help-center-939926561.html,"Customizing the help center . Here's a quick look at the help center layout: Portal cards: View all customer portals at a glance and switch between them quickly. Recent: View the types of requests that you raised recently. Sorting: Sort customer portals by popularity, or the ascending or descending order. The popularity of your portals is based on the number of requests raised."
Login - Jira Service Management,https://owasporg.atlassian.net/servicedesk/customer/user/login?destination=portals,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Service Management - Dell,https://jira.cpg.dell.com/servicedesk/customer/portal/75,"{""tourEnabled"":false,""wacLink"":""https://www.atlassian.com/software/jira/service-management?utm_medium=jira-in-product&utm_source=jira_service_desk_portal_footer&utm ..."
Login :: SMR Automotive,https://www.smr-automotive.com/login,Username. Password. Stay signed in for two weeks. Log in. Forgot Password. 202. opportunities. Production Operator Embedded Software Engineer MCU (m/w/d) Technischer Projektleiter (m/w/d) Projekteinkäufer Elektronik Automotive (m/w/d) Assistenz (m/w/d) Embedded Software Engineer SOC (m/w/d) -Automotive Software Integration Test Engineer (m/w/d ...
MIT Press Direct Support - Jira Service Management,https://mitpress.atlassian.net/servicedesk/customer/portals,MIT Press Direct Support - Jira Service Management. MIT Press Direct Support. Log in.
Simply Connect Support Desk - Jira Service Management,https://simplyconnectsolutions.atlassian.net/servicedesk/customer/portals,"{""xsrfToken"":""9c1ae9162eeae9414b2daa65e2594f87d345ee1a_lout"",""helpCenterBranding"":{""logoUrl"":""https://api.media.atlassian.com/file/7abb9146-cb8d-4dfa-a04a ..."
Login - Jira Service Management,https://chattigo.atlassian.net/servicedesk/customer/user/login?destination=portals,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Netguides Service Desk - Jira Service Management,https://netguides.atlassian.net/servicedesk/customer/portals,"{""xsrfToken"":""b61ab2da1b127c8c89912f82314df9a09331ebba_lout"",""helpCenterBranding"":{""logoUrl"":""https://api.media.atlassian.com/file/8f0c7278-490a-44d6-ae4d ..."
Jira Service Management - tsb-externals.atlassian.net,https://tsb-externals.atlassian.net/servicedesk/customer/portals,"{""xsrfToken"":""5233862af987af08ef92347278e366082eb2ced9_lout"",""helpCenterBranding"":{""logoUrl"":""https://api.media.atlassian.com/file/33a8f62a-025c-41a5-9406 ..."
Login - Jira Service Management,https://unity3d.atlassian.net/servicedesk/customer/portals,Enter your email to log in or sign up. Email address. Next. Powered by Jira Service Management.
Login - Jira Service Management,https://tickmill.atlassian.net/servicedesk/customer/portals,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Service Management - Wayne County Regional Educational Service Agency,https://servicedesk.resa.net/servicedesk/customer/portal/44,"To create a ticket in the correct Service Desk, please make your selection from the list under Popular. Log in Using District Email Address and Password. Keep me logged in."
Customer Portal Migration | website,https://cogsdale.com/customer-portal-migration/servicedesk/customer/portal/16,We're in The Cloud Cogsdale has migrated our Support Desk & Customer Portal (documentation and support desk) to Atlassian Cloud and moved to the latest and greatest version of Jira/Confluence.
Login - Jira Service Management,https://includedhealth.atlassian.net/servicedesk/customer/portals,"Please login with your IH Email. Hello! To use the IH Help Center portal, please login using your Included Health email address. You will be asked to authenticate with your Included Health Okta account. Once you are logged in, you can navigate to the Help Center here."
Allied Universal Help Center - Jira Service Management,https://cni-customersupport.atlassian.net/servicedesk/customer/portals,"{""xsrfToken"":""82f23f0550f3a6821e735ac462095c73a28c92e8_lout"",""helpCenterBranding"":{""logoUrl"":""https://api.media.atlassian.com/file/5c3f8608-90b9-46fd-aa00 ..."
Jira Service Management,https://ede-tes.atlassian.net/servicedesk/customer/portals,E/D/E Digitale Services - Jira Service Management. E/D/E Digitale Services. Einloggen.
jira.in.devexperts.com,https://jira.in.devexperts.com/servicedesk/customer/portals,jira.in.devexperts.com
Jira Service Management - massmutual.atlassian.net,https://massmutual.atlassian.net/servicedesk/customer/portals,"{""xsrfToken"":""fdd406dace69801ff9c906bc59f50504a6c26903_lout"",""helpCenterBranding"":{""logoUrl"":""https://api.media.atlassian.com/file/3f167189-487d-4f73-9323 ..."
Configure custom URL for the Jira Service Management customer portal,https://confluence.atlassian.com/jirakb/configure-custom-url-for-the-jira-service-desk-customer-portal-847755218.html,Solution Steps for Configuring Alternate URLs. This method uses the Rewrite Valve that was introduced in Tomcat 8.. Tomcat 8 is the application server included in Jira 7.0+ and Jira Service Management 3.0+.
Service Desk - New York University,https://jira.law.nyu.edu/servicedesk/customer/portals,"{""tourEnabled"":false,""wacLink"":""https://www.atlassian.com/software/jira/service-desk/powered-by?utm_medium=jira-in-product&utm_source=jira_service_desk_portal_footer ..."
greenlite Service Desk - Jira Service Management,https://greenlitevendingrequests.atlassian.net/servicedesk/customer/portals,greenlite Service Desk - Jira Service Management. greenlite Service Desk. Log in.
Jira Service Management - tennis-point.atlassian.net,https://tennis-point.atlassian.net/servicedesk/customer/portals,"Geben Sie Ihre E-Mail-Adresse ein, um sich einzuloggen oder zu registrieren. E-Mail-Adresse. Weiter. Unterstützt von Jira Service Management."
Jira Service Management - Ecosystem Jira,https://ecosystem.atlassian.net/servicedesk/customer/portals,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Jira Service Management - input-output.atlassian.net,https://input-output.atlassian.net/servicedesk/customer/portals,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Service Management - Nielsen,https://adlm.nielsen.com/jira/servicedesk/customer/portals,"{""tourEnabled"":false,""wacLink"":""https://www.atlassian.com/software/jira/service-management?utm_medium=jira-in-product&utm_source=jira_service_desk_portal_footer&utm ..."
Jira Service Management - uac-cloud.atlassian.net,https://uac-cloud.atlassian.net/servicedesk/customer/portals,Enter your email to log in or sign up. Email address. Next. Powered by Jira Service Management.
Login - Jira Service Management,https://media24.atlassian.net/servicedesk/customer/portals,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Jira Service Management,https://jcblivelink.atlassian.net/servicedesk/customer/portals,LiveLink Support Centre - Jira Service Management. LiveLink Support Centre. Log in.
Login - Jira Service Management,https://virdee.atlassian.net/servicedesk/customer/portals,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Jira Service Management,https://ecollect.atlassian.net/servicedesk/customer/portals,Introduce tu correo electrónico para iniciar sesión o registrarte. Dirección de correo electrónico. Siguiente. Con la tecnología de Jira Service Management.
Jira Service Management - activeo-group.atlassian.net,https://activeo-group.atlassian.net/servicedesk/customer/user/login?destination=portals,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Cambiar url en Jira Service Desk cloud - Atlassian Community,https://community.atlassian.com/t5/Jira-Service-Management/Cambiar-url-en-Jira-Service-Desk-cloud/qaq-p/1683329,"Hola, Después de mucho leer e intentar hacer redirecciones 301, CNAME... ¿alguien puede darme una solución para pasar de la url del portal del"
Jira Service Management - lifecyclesystems.atlassian.net,https://lifecyclesystems.atlassian.net/servicedesk/customer/portals,"{""xsrfToken"":""ac05cccb30b419cdd544c8eb5431de92648fe638_lout"",""helpCenterBranding"":{""logoUrl"":""https://api.media.atlassian.com/file/b77d17b8-0d51-4a60-be7f ..."
Jira Service Management,https://winbooks.jira.com/servicedesk/customer/portals,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Service Management - Appalachian State University,https://jira.appstate.edu/servicedesk/customer/portals,"{""tourEnabled"":false,""wacLink"":""https://www.atlassian.com/software/jira/service-management?utm_medium=jira-in-product&utm_source=jira_service_desk_portal_footer&utm ..."
Login - Jira Service Management,https://navitasltd.atlassian.net/servicedesk/customer/portals,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Customer portal - Atlassian,https://developer.atlassian.com/cloud/jira/service-desk/customer-portal/,User menu action. This pages lists the Jira Service Desk modules for the customer portal. These can be used to inject panels and actions to various locations in Jira Service Desk customer portal. A panel is simply a section of HTML content on the page. An action is a clickable link or menu entry for user to perform specific operation.
have access to customer portal of Jira Service Des...,https://community.atlassian.com/t5/Jira-Core-Server-questions/have-access-to-customer-portal-of-Jira-Service-Desk-Cannot-find/qaq-p/1801210,"1 answer. Identify the email address with which you created the account and try to reset password. Now access admin.atlassian.com to identify user. If you can't remember the email address with which you created the account, please take assistance from Atlassian support, for this you have atleast remember one or the other."
Jira Service Management,https://soporte-ti.atlassian.net/servicedesk/customer/portals,Introduce tu correo electrónico para iniciar sesión o registrarte. Dirección de correo electrónico. Siguiente. Con la tecnología de Jira Service Management.
HACPS Invoice Portal - The United States Social Security Administration,https://www.ssa.gov/appeals/hacps.html,"Welcome to the Hearings and Appeals Case Processing System (HACPS) Invoice Portal resource webpage. The portal allows our ME, VE and VHR communities an electronic format to view their call orders and submit invoices to the respective hearing offices (s) electronically. This process replaces manually submitting and tracking of consolidated ..."
Jira Service Management,https://thalesserviceoperations.atlassian.net/servicedesk/customer/portals,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Jira Service Management - spotinc.atlassian.net,https://spotinc.atlassian.net/servicedesk/customer/portals,Red Tech Support Home - Jira Service Management. Red Tech Support Home.
JavaScript required - Harman International,https://jira.harman.com/jira/servicedesk/customer/portals,An error occurred. Contact your administrator for more information. Error details ...
Login - Jira Service Management,https://assupol.atlassian.net/servicedesk/customer/portal/3,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
MLS2 Service Desk - Jira Service Management,https://mls2support.atlassian.net/servicedesk/customer/portals,MLS2 Service Desk - Jira Service Management. MLS2 Service Desk. Log in.
- Jira,https://support.idalko.com/servicedesk/customer/portals,"{""contextPath"":""""} - Jira {""contextPath"":""""}"
Login - Jira Service Management,https://jhelpdesk.atlassian.net/servicedesk/customer/portals,Enter your email to log in or sign up. Email address. Next. Powered by Jira Service Management.
Living Supplements - Jira Service Management,https://livingsupplements.atlassian.net/servicedesk/customer/portals,"{""xsrfToken"":""68887e19686903f1a12f863861e8d5e626983cfc_lout"",""helpCenterBranding"":{""logoUrl"":""https://api.media.atlassian.com/file/b9fb45df-828a-4e22-9484 ..."
Epic Games,https://jira.it.epicgames.com/servicedesk/customer/portals,We would like to show you a description here but the site won't allow us.
Login - Jira Service Management,https://owasporg.atlassian.net/servicedesk/customer/portals,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Jira Service Management - tst-it.atlassian.net,https://tst-it.atlassian.net/servicedesk/customer/portals,"{""headless"":false,""tourEnabled"":false,""wacLink"":""https://www.atlassian.com/software/jira/service-desk/powered-by?utm_medium=jira-in-product&utm_source=jira_service ..."
Service desk customer - portal access VS Service D...,https://community.atlassian.com/t5/Jira-Service-Management/Service-desk-customer-portal-access-VS-Service-Desk-Customers/qaq-p/1021385,"3) By default, the 'Service desk customer - portal access' security type is granted to a lot of Issue permissions in the default project Permission Scheme. Like ""Assign Issues"". But with my test user, I don't have the ability to assign my portal-created issue to anyone, in fact I can't even see the setting. So, is this security type really used ..."
Jira Service Management,https://tradelinkhelpdesk.atlassian.net/servicedesk/customer/portals,"{""xsrfToken"":""56ecc733d710b499afd86f80b14bd574adad693e_lout"",""helpCenterBranding"":{""logoId"":"""",""isLogoAvailable"":false,""helpCenterTitle"":""Welcome to the Trade-link ..."
Tormach Inc. - Jira Service Management,https://tormach.atlassian.net/servicedesk/customer/portals,"{""xsrfToken"":""867e82244a5eaa8dc099c9aacd4c421f7b7406ca_lout"",""helpCenterBranding"":{""logoId"":"""",""isLogoAvailable"":false,""helpCenterTitle"":""Tormach/SprutCAM America ..."
Login - Jira Service Management,https://smileitsolutions.atlassian.net/servicedesk/customer/user/login?destination=portals,Enter your email to log in or sign up. Email address. Next. Powered by Jira Service Management.
How to Hide the Jira Service Desk from the Main cu...,https://community.atlassian.com/t5/Jira-Service-Management/How-to-Hide-the-Jira-Service-Desk-from-the-Main-customer-portal/qaq-p/1101475,"Hi @Muhammad Bilal ,. on the customer portal, customer will show all projects in which he is able to raise tickets to. If you want to show just particular projects you should limit access to all the others by using customer permission as previously described."
Login - Jira Service Management,https://avrub.atlassian.net/servicedesk/customer/user/login?destination=portals,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Jira Service Management,https://integrho.atlassian.net/servicedesk/customer/portals,Introduce tu correo electrónico para iniciar sesión o registrarte. Dirección de correo electrónico. Siguiente. Con la tecnología de Jira Service Management.
Entrar - Jira Service Management,https://atendimento-totvs.atlassian.net/servicedesk/customer/portals,Insira o e-mail para entrar ou se inscrever. Endereço de e-mail. Próximo. Desenvolvido por Jira Service Management.
Entrar - Jira Service Management,https://smiles.atlassian.net/servicedesk/customer/user/login?destination=portals,Insira o e-mail para entrar ou se inscrever. Endereço de e-mail. Próximo. Desenvolvido por Jira Service Management.
Login - Jira Service Management,https://corsearch.atlassian.net/servicedesk/customer/portals,Enter your email to log in or sign up. Email address. Next. Powered by Jira Service Management.
Login - Jira Service Management,https://assupol.atlassian.net/servicedesk/customer/portals,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Login - Jira Service Management,https://connellsgroup.atlassian.net/servicedesk/customer/portals,"{""xsrfToken"":""c401d8f45c93502545059d3da04ea64f725afd33_lout"",""helpCenterBranding"":{""logoUrl"":""https://api.media.atlassian.com/file/9b1a3238-a025-46a8-816c ..."
Login - Jira Service Management,https://fruugo.atlassian.net/servicedesk/customer/portals,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Entrar - Jira Service Management,https://riachuelo.atlassian.net/servicedesk/customer/portals,Insira o e-mail para entrar ou se inscrever. Endereço de e-mail. Próximo. Desenvolvido por Jira Service Management.
Jira Service Management,https://soundunited.atlassian.net/servicedesk/customer/portals,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Log in - Jira - Options IT,https://jira.options-it.com/login.jsp,"Welcome to Jira. U sername. P assword. R emember my login on this computer. Not a member? To request an account, please contact your Jira administrators."
Login - Jira Service Management,https://caressc.atlassian.net/servicedesk/customer/user/login,"{""xsrfToken"":""c0d51346c2b5e586aed087c3c1c9657797ccb3b6_lout"",""helpCenterBranding"":{""logoUrl"":""https://api.media.atlassian.com/file/c1cdf4c0-6cf6-4594-a93e ..."
Projects - Smartkargo-CUSTOMER SERVICEDESK,https://smartkargo.atlassian.net/jira/projects,Projects - Smartkargo-CUSTOMER SERVICEDESK
Jira Service Management,https://cashcrusaders.atlassian.net/servicedesk/customer/user/signup?destination=portals,"{""headless"":false,""tourEnabled"":false,""wacLink"":""https://www.atlassian.com/software/jira/service-desk/powered-by?utm_medium=jira-in-product&utm_source=jira_service ..."
Help Center - Jira Service Management - ver.atlassian.net,https://ver.atlassian.net/servicedesk/customer/portals,"{""headless"":false,""tourEnabled"":false,""wacLink"":""https://www.atlassian.com/software/jira/service-desk/powered-by?utm_medium=jira-in-product&utm_source=jira_service ..."
Log in - KPMG Global Studio,https://deliverybackbone.kpmg.com/studio/login.jsp,"Welcome to KPMG Global Studio. U sername. P assword. R emember my login on this computer. Not a member? To request an account, please contact your Jira administrators. Can't access your account? Atlassian Jira Project Management Software. Powered by Atlassian."
Login - Jira Service Management,https://groupecat.atlassian.net/servicedesk/customer/user/login?destination=portals,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Jira Service Management - e-courier.atlassian.net,https://e-courier.atlassian.net/servicedesk/customer/portals,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Jira Service Management,https://neoservicedesk.atlassian.net/servicedesk/customer/portals,Enter your email to log in or sign up. Email address. Next. Powered by Jira Service Management.
Your work - Smartkargo-CUSTOMER SERVICEDESK,https://smartkargo.atlassian.net/jira/your-work,Your work - Smartkargo-CUSTOMER SERVICEDESK
Entrar - Jira Service Management,https://cvccorp.atlassian.net/servicedesk/customer/portals,Insira o e-mail para entrar ou se inscrever. Endereço de e-mail. Próximo. Desenvolvido por Jira Service Management.
Jira Service Management - njdeptofhealth.atlassian.net,https://njdeptofhealth.atlassian.net/servicedesk/customer/portals,"{""headless"":false,""tourEnabled"":false,""wacLink"":""https://www.atlassian.com/software/jira/service-desk/powered-by?utm_medium=jira-in-product&utm_source=jira_service ..."
Login - Jira Service Management,https://syntqsupport.atlassian.net/servicedesk/customer/portals,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Service Management - United Service Organizations,https://jira.uso.org/servicedesk/customer/user/login?destination=portals,"{""xsrfToken"":""BC7K-GEFD-8T3M-LGIX_4ca99faae2f37117cfd43b8454cdfd5927820e3d_lout"",""helpCenterBranding"":{""headerBGColor"":""#002147"",""headerLinkColor"":""#ffffff ..."
How to hide a project from the Customer Portal? - Atlassian Community,https://community.atlassian.com/t5/New-to-Jira-Service-Management/How-to-hide-a-project-from-the-Customer-Portal/qaq-p/700739,I didn't find a solution from JIRA but you can: - Go to 'customize Portal' and highlight only the project/s that you want to show so customers won't see directly anothers projects. (the have to click in 'show more' to see it) - Also you have to hide the request of the project you want to hide so the customer will be unable to create issues.
Service Desk SEA - Jira Service Management,https://sea.atlassian.net/servicedesk/customer/portals,Service Desk SEA - Jira Service Management. Service Desk SEA. Fazer login.
Login - Jira Service Management,https://ecsiproduct.atlassian.net/servicedesk/customer/portals,Enter your email to log in or sign up. Email address. Next. Powered by Jira Service Management.
Help! - IntouchCX,https://247intouch.zendesk.com/hc/en-us/articles/360042241571-Help-,"This method should only be used if the agent's Team Leader can't be reached via methods above. Hangouts (IT Service Desk 24-7) Email (itservicedesk@24-7intouch.com) Phone call (1-800-586-0851) ITSD Jira Ticket (If they have Jira access) Slack. When troubleshooting on your own doesn't fix the issue, reach out for assistance. Contact your ..."
Login - Jira Service Management,https://vensure.atlassian.net/servicedesk/customer/user/login?destination=portals,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Login - Jira Service Management,https://29022131.atlassian.net/servicedesk/customer/portals,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Digital Victoria Help Centre - Jira Service Management,https://digital-vic.atlassian.net/servicedesk/customer/portals,"{""xsrfToken"":""ba604cc71e6516b5b377e8c288df57656d139b95_lout"",""helpCenterBranding"":{""logoId"":"""",""isLogoAvailable"":false,""helpCenterTitle"":""Welcome to the Digital ..."
Login - Jira Service Management,https://fruugo.atlassian.net/servicedesk/customer/portal/1,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Callaway Brands Help Center - Jira Service Management,https://callawaybrands.atlassian.net/servicedesk/customer/portals,"{""xsrfToken"":""45006356586fa9e13faf1c805156faf1942027ca_lout"",""helpCenterBranding"":{""logoId"":"""",""isLogoAvailable"":false,""helpCenterTitle"":""Callaway Brands Corporate ..."
Jira Service Management - cg-support.atlassian.net,https://cg-support.atlassian.net/servicedesk/customer/portals,Caregiver Help Center - Jira Service Management. Caregiver Help Center.
