summary,role,text
301 - 1.tsv,CUSTOMER,know if when hoary ships fbsplash will be enabled and if so will default gnome-terminal background be the fbsplash image file?
301 - 1.tsv,AGENT,"to be honest, I have no idea; jdub probably has a much clearer idea."
301 - 1.tsv,CUSTOMER,ok thanks
301 - 1.tsv,AGENT,"links, w3m, lynx, ..."
301 - 1.tsv,CUSTOMER,can you dcc me /etc/Muttrc that ships with mutt?
301 - 1.tsv,CUSTOMER,"hi, i've ran a few apps under 'sudo -s' now things are messed up, is there any way to recover?"
301 - 1.tsv,AGENT,that depends entirely on what you commands you executed.
301 - 1.tsv,CUSTOMER,"guarddog, lokkit, firestarter, i think is all"
301 - 1.tsv,CUSTOMER,now ls -l doesn't respond and gnome panels are messed up and nautilus can't start
301 - 1.tsv,CUSTOMER,or is there a link to unfsck? i.e. i know it was mentioned in k3b-setup
301 - 1.tsv,AGENT,what did you do with those applications?
301 - 1.tsv,AGENT,"(I use a homebrewed iptables script, so I'm afraid I can't necessarily assist.)"
301 - 1.tsv,CUSTOMER,"i launched them under 'sudo -s' and configured them, or would there be another reason why ls -l /home/lance doesn't respond?"
301 - 1.tsv,CUSTOMER,or gets hung?
301 - 1.tsv,AGENT,"usually if that command doesn't respond, you have a serious problem like a kernel oops"
301 - 1.tsv,AGENT,does it work after a reboot?
301 - 1.tsv,CUSTOMER,sure doesn't
301 - 1.tsv,CUSTOMER,"let me try booting another kernel, brb"
301 - 1.tsv,CUSTOMER,it was stupid firestarter and networked filesystems
301 - 1.tsv,CUSTOMER,how's array 4 working out?
301 - 1.tsv,AGENT,"Hoary system itself seems fine, but I can't use the display since the crt is kaput. :)"
301 - 1.tsv,CUSTOMER,thanks
301 - 1.tsv,CUSTOMER,"i *really* like the new update manager btw, much more intuitive and simpler than synaptic :)"
301 - 1.tsv,AGENT,aptitude is another front end to apt.
301 - 1.tsv,CUSTOMER,"lol i did, why? :P"
301 - 1.tsv,CUSTOMER,is aptitude safer to use than say apt-get dist-upgrade?
301 - 1.tsv,AGENT,"'safer?' for me, it's preference."
301 - 1.tsv,CUSTOMER,ever use openbox?
301 - 1.tsv,AGENT,"for a long time, openbox2 - then openbox3 - were my preferred wms"
301 - 1.tsv,CUSTOMER,using metacity now?
301 - 1.tsv,AGENT,"no, I'm at work, so I'm technically using whatever XP uses."
301 - 1.tsv,CUSTOMER,on your ubuntu box i meant
301 - 1.tsv,AGENT,for my main user - yes - although I use a variety of wms for different users
301 - 1.tsv,CUSTOMER,know how with openssh it will not write ~/.ssh/known_hosts?
301 - 1.tsv,AGENT,?
301 - 1.tsv,CUSTOMER,i.e. known_hosts doesn't get written when the server sends it's public key...
301 - 1.tsv,AGENT,"why would it when the keys are exchanged? that file is only modified when you, as the user, acknowledge affirmatively that you wish to add the host key"
301 - 1.tsv,CUSTOMER,my problem is i have two computers behind the same domain name so i get a 'man in the middle attack' warning and no connect when switching between the two
301 - 1.tsv,AGENT,'switching between the two?'
301 - 1.tsv,CUSTOMER,"ssh to one computer name@domain different port, disconnect, ssh same_name@domain different port, the second time i  get warning and no connect"
301 - 1.tsv,AGENT,the warning is normal
301 - 1.tsv,CUSTOMER,"i figured it out, thanks!!!"
301 - 1.tsv,CUSTOMER,"hi, does ~/.gnome2 contain gconf variables?"
301 - 1.tsv,CUSTOMER,muine is in universe afaik
301 - 1.tsv,AGENT,?
301 - 1.tsv,CUSTOMER,"it's crashing often in hoary after running mp3gain on a large mp3 dir, should i file a bug?"
301 - 1.tsv,CUSTOMER,i was asking if muine is in universie
301 - 1.tsv,AGENT,absolutely
301 - 1.tsv,AGENT,0.8.2-5ubuntu1 is hoary/universe
301 - 1.tsv,CUSTOMER,do i need to copy anybody or defaults is good?
301 - 1.tsv,AGENT,defaults are fine.
301 - 1.tsv,CUSTOMER,opened a bug regarding muine
301 - 1.tsv,AGENT,#?
301 - 1.tsv,CUSTOMER,7124
301 - 1.tsv,CUSTOMER,is it possible muine is having a buffer overflow due to libmuine.so.so not being able to be found?  why it's looking for that i have no clue.
301 - 1.tsv,AGENT,buffer overflow? highly doubtful.
301 - 1.tsv,CUSTOMER,"just a wild guess, how can i provide more debugging info?  gdb tells nothing."
301 - 1.tsv,AGENT,did you set the MONO_DEBUG env var to a nonzero value?
301 - 1.tsv,CUSTOMER,"only thing i set was MONO_LOG_LEVEL=debug, what do you recommend setting it to? like 3?"
301 - 1.tsv,CUSTOMER,export MONO_DEBUG=3 should work?
301 - 1.tsv,CUSTOMER,or 5 or something
301 - 1.tsv,CUSTOMER,if i go into gconf settings and change monitored folder to something else it pops back working
301 - 1.tsv,CUSTOMER,last line in debug is Mono-INFO: DllImport loading location: 'libglib-2.0.so.0'. then it segfaults.
301 - 1.tsv,CUSTOMER,"could be one particular mp3 on my end, i'll try to isolate a bit more"
301 - 1.tsv,CUSTOMER,isolate *it* lol
301 - 1.tsv,CUSTOMER,how's it going mate?
301 - 1.tsv,AGENT,"n'bad, yourself?"
301 - 1.tsv,CUSTOMER,"not bad, just watched a smoothwall install die on a 1000mb nic card and might be getting some work installing a linux server later on"
301 - 1.tsv,CUSTOMER,"and *really* impressed with how ubuntu is coming along, minus the crap of a power management my laptop has"
301 - 1.tsv,CUSTOMER,what should i use as cd burning app if i want to get rid of k3b?
301 - 1.tsv,AGENT,graveman?
301 - 1.tsv,CUSTOMER,can graveman do iso's or just rely on nautilus for that?
301 - 1.tsv,CUSTOMER,is there alsa cvs available in ubuntu?
301 - 1.tsv,AGENT,cvs? no.
301 - 1.tsv,AGENT,1.0.8 is available in hoary/universe via the 'alsa-source' package.
301 - 1.tsv,CUSTOMER,"yes, my card just got 24-bit support but i have to patch against cvs to use it, i can wait i guess, would be nice though :)"
301 - 1.tsv,CUSTOMER,on my laptop with Hoary if i 'dmesg|grep -i dsdt' it says initrd doesn't have a dsdt patch when on bugzilla it says it does...
301 - 1.tsv,CUSTOMER,any ideas on the dsdt or just comment on the closed bug?
301 - 1.tsv,AGENT,"sorry, could you point me to the bug #?"
301 - 1.tsv,CUSTOMER,https://bugzilla.ubuntu.com/show_bug.cgi?id=3379
301 - 1.tsv,AGENT,"ok, will look in a bit, busy atm"
301 - 1.tsv,CUSTOMER,ok thanks
301 - 1.tsv,AGENT,none. alsa-driver is the name of the source package.
301 - 1.tsv,AGENT,what specifically are you looking for?
301 - 1.tsv,CUSTOMER,driver module
301 - 1.tsv,AGENT,try using the alsa-source and alsa-base debs from experimental
301 - 1.tsv,AGENT,I'm using them just fine (1.0.8+1.0.9rc2-1)
301 - 1.tsv,CUSTOMER,how can i get experimental?
301 - 1.tsv,CUSTOMER,?
301 - 1.tsv,AGENT,it's fairly complicated (you can't use the debs directly)
301 - 1.tsv,CUSTOMER,can i make .debs from alsa-driver package?
301 - 1.tsv,AGENT,"yes, if you tweak."
301 - 1.tsv,AGENT,"however, the dependencies are fairly twisted.  I don't recommend it."
301 - 1.tsv,CUSTOMER,ok thanks
301 - 1.tsv,CUSTOMER,which contains the .ko file?
301 - 1.tsv,CUSTOMER,in regular hoary
301 - 1.tsv,AGENT,the alsa-driver deb that you build from alsa-source
301 - 1.tsv,AGENT,linux-image contains those
301 - 1.tsv,CUSTOMER,k thnx
301 - 1.tsv,CUSTOMER,i know it's probably not a good idea but going to stick with alsa-driver stable for now self compiled p16v support in 1.0.9rc2 seem broken
301 - 1.tsv,AGENT,sure.  How is ca0106 in 1.0.9rc2 broken?
301 - 1.tsv,AGENT,you have to use a corresponding 1.0.9rc2 libasound2 as well
301 - 1.tsv,CUSTOMER,no 24bit support for audigy2
301 - 1.tsv,CUSTOMER,"ah, so i need the libs as well? doh"
301 - 1.tsv,CUSTOMER,still broken it seems
301 - 1.tsv,AGENT,what is?
301 - 1.tsv,AGENT,1.0.9rc2?
301 - 1.tsv,CUSTOMER,"p16v support for audigy2, eys"
301 - 1.tsv,CUSTOMER,regular pcm works fine
301 - 1.tsv,AGENT,and you've confirmed via cvs revisions that this is the case?
301 - 1.tsv,CUSTOMER,nope. just tried rc2
301 - 1.tsv,CUSTOMER,"it's not high priority really, i've submitted a big to gnome's bugzilla regarding gstreamer and custom sink to enable p16v but reckon should wait until at least it makes it into stable before following up on bug?"
301 - 1.tsv,CUSTOMER,p16v support in alsa for audigy2 that is (wait until stable)
301 - 1.tsv,AGENT,"not sure how gst would really help there, besides being able to specify a virtual device."
301 - 1.tsv,CUSTOMER,as the custom sink is broken in gst and works in xine?
301 - 1.tsv,AGENT,"afaik, the fact that p16v support even works in RC1 is a complete fluke, because it appears to be utterly broken"
301 - 1.tsv,CUSTOMER,"and broken it is in rc2 heh, i'll help jcdutton if i can"
301 - 1.tsv,CUSTOMER,"hi, how's it going? do you know how to load a custom dsdt in initrd?"
301 - 1.tsv,CUSTOMER,in hoary...
301 - 1.tsv,CUSTOMER,why did they remove the ndiswrapper page?
301 - 1.tsv,AGENT,"they didn't, it's having difficulties. See the topic."
301 - 1.tsv,AGENT,there's no one package that does.
301 - 1.tsv,CUSTOMER,i messed it up somehow is there a way to reset?  when i run dhclient it doesn't write the nameservers
301 - 1.tsv,CUSTOMER,i was helping troubleshoot the wireless network at school and installed pump and other junk
301 - 1.tsv,CUSTOMER,how to fix my /etc/resolv.conf so that it writes nameservers when using dhclint? :(
301 - 1.tsv,AGENT,"you're not invoking dhclient manually, are you?"
301 - 1.tsv,CUSTOMER,yes
301 - 1.tsv,CUSTOMER,i am invoking dhclient manually
301 - 1.tsv,AGENT,"err, why?"
301 - 1.tsv,AGENT,the instance in /etc/network/interfaces doesn't work?
301 - 1.tsv,CUSTOMER,what is that?
301 - 1.tsv,AGENT,that's the actual file.
301 - 1.tsv,CUSTOMER,ok
301 - 1.tsv,CUSTOMER,hi
301 - 1.tsv,AGENT,hi
301 - 1.tsv,CUSTOMER,what to do after 'apt-get install alsa-source' to install 1.0.8 driver?
301 - 1.tsv,CUSTOMER,"figured it out lol, thanks to linkage"
301 - 1.tsv,AGENT,weren't you using 1.0.8cvs anyhow?
301 - 1.tsv,CUSTOMER,um was using emu10k1 (oss) there for a bit then to ubuntu stock now 1.0.8
301 - 1.tsv,CUSTOMER,i couldn't get it to compile with cvscompile
301 - 1.tsv,AGENT,hum. I could have sworn you were using ALSA 1.0.8+cvs at one point.
301 - 1.tsv,CUSTOMER,"think i tried at one point, was using 1.0.9rc1"
301 - 1.tsv,CUSTOMER,it's a shame actually emu10k1(oss) is a decent driver
301 - 1.tsv,AGENT,of course it's decent; that's where the ALSA driver has its roots :)
301 - 1.tsv,CUSTOMER,ah
301 - 1.tsv,CUSTOMER,why when i save something to the desktop it doesn't show up?
301 - 1.tsv,AGENT,in gnome?
301 - 1.tsv,CUSTOMER,"hi, is it normal behaviour that is i save something to the Desktop folder it doesn't show up on the desktop unless i refresh that folder in Nautilus?"
301 - 1.tsv,AGENT,"I suppose that depends on the backend, which depends whether dnotify or inotify is used"
301 - 1.tsv,CUSTOMER,which do you use?
301 - 1.tsv,AGENT,"I use inotify, because I'm using a pre-2.6.12"
301 - 1.tsv,CUSTOMER,so any previous uses dnotify?
301 - 1.tsv,AGENT,Hoary's kernel does
301 - 1.tsv,CUSTOMER,"odd, using gtk's file save dialogue 90% of the time if i save a file to teh Desktop it doesn't show up unless i refresh in Nautilus"
301 - 1.tsv,AGENT,my hunch is that dnotify+gamin are to blame
301 - 1.tsv,CUSTOMER,"oh, how to get rid of them?  this is an upgrade from Warty..."
301 - 1.tsv,AGENT,you don't have any choice currently
301 - 1.tsv,CUSTOMER,can i go back to fam or is that a bad idea as well?
301 - 1.tsv,CUSTOMER,is a shame i'll just have to refresh nautilus to see what's on desktop w/out killing nautilus
301 - 1.tsv,AGENT,bad idea to go back
301 - 1.tsv,CUSTOMER,"ok then, dangit"
301 - 1.tsv,CUSTOMER,"should i file a bug, upgrade to breezy, or just wait?"
301 - 1.tsv,AGENT,"check bugzilla, certainly, but it's a better idea to wait"
301 - 1.tsv,CUSTOMER,"ok, dangit"
301 - 1.tsv,CUSTOMER,ping
301 - 1.tsv,AGENT,pong
301 - 1.tsv,CUSTOMER,"remember we were talking about setting up two soundcards?  there is person in #creative could use some help with that, if you have a minute."
301 - 1.tsv,AGENT,with ALSA?
301 - 1.tsv,CUSTOMER,"right now oss but maybe alsa later, could you join please?"
301 - 1.tsv,AGENT,"have him ping me when he's dealing with ALSA, thanks"
301 - 1.tsv,CUSTOMER,"got it, thanks"
301 - 1.tsv,AGENT,no
301 - 1.tsv,CUSTOMER,can't install captive with it?
301 - 1.tsv,AGENT,"sure you can, just install build-essential, gcc-3.4, and linux-headers-$(uname -r)"
301 - 1.tsv,CUSTOMER,ok thanks
301 - 1.tsv,CUSTOMER,is captive part of ubuntu or do i need to add a repo or just install a .deb?
301 - 1.tsv,AGENT,you need to compile it yourself
301 - 1.tsv,CUSTOMER,thanks
301 - 1.tsv,CUSTOMER,"i found a repo for captive, should i still install from source?"
301 - 1.tsv,AGENT,a repo may not be specifically for your Ubuntu install
301 - 1.tsv,CUSTOMER,ok i'll go with the source!
60 - 402.tsv,CUSTOMER,is it ok to add a repository that is intrepid to hardy?
60 - 402.tsv,AGENT,"no, absolutely not"
60 - 402.tsv,AGENT,"you can use a backport, if there is one, or you can try compiling the *source* package of intrepid"
60 - 402.tsv,AGENT,what is it?
60 - 402.tsv,CUSTOMER,zoneminder 1.23.3
60 - 402.tsv,CUSTOMER,do you have any recommendations
60 - 402.tsv,AGENT,"well you think wrong, backports is for installing *newer* apps. but anyway, there doesn't seem to be a backport for zoneminder."
60 - 402.tsv,AGENT,"if you wait a while i'll see if i can compile the intrepid version, then give you instructions to do it."
60 - 402.tsv,AGENT,leave ./configure alone please.
60 - 402.tsv,AGENT,"you can install the Intrepid source package without touching ./configure, just have a little patience."
60 - 402.tsv,AGENT,"ok, i can help you get a proper package compiled, shall i?"
60 - 402.tsv,CUSTOMER,your good i keep gettin
60 - 402.tsv,AGENT,"sudo nano /etc/apt/sources.list, and add this line:  deb-src http://se.archive.ubuntu.com/ubuntu/ intrepid main restricted universe multiverse"
60 - 402.tsv,AGENT,"save, and do 'sudo apt-get update'"
60 - 402.tsv,AGENT,"yes, that's fine - we'll remove that line later"
60 - 402.tsv,AGENT,"it's true, but it's a source repository, and we'll only get this one package from it to compile"
60 - 402.tsv,AGENT,top or bottom is the same
60 - 402.tsv,AGENT,"that's not a source package, that's just the upstream distribution. i'm talking about a *proper* Ubuntu source package, which will get a binary .deb compiled."
60 - 402.tsv,CUSTOMER,ok ill follow your lead updating sources.list starting now
60 - 402.tsv,AGENT,"when you're done, create an empty directory with 'mkdir mypackage', then 'cd mypackage'"
60 - 402.tsv,AGENT,tell me when you're done
60 - 402.tsv,AGENT,"now, 'apt-get source zoneminder'"
60 - 402.tsv,AGENT,"then you'll have to modify a file slightly, because it doesn't compile out of the box. do 'cd zoneminder-1.23.3', then 'nano src/zm_mpeg.cpp'"
60 - 402.tsv,AGENT,"now go to line 281 (to do that, hit Ctrl+W, then Ctrl+T, then type 281)"
60 - 402.tsv,AGENT,uh?
60 - 402.tsv,AGENT,"well, it's the intrepid version"
60 - 402.tsv,AGENT,no
60 - 402.tsv,AGENT,"Hardy version is 1.22.3-10, Intrepid version is 1.23.3-3"
60 - 402.tsv,AGENT,"then you didn't add the intrepid line correctly (and really, there's nothing you need to comment out)"
60 - 402.tsv,CUSTOMER,im sure you right lemme double check
60 - 402.tsv,AGENT,deb-src http://se.archive.ubuntu.com/ubuntu/ intrepid main restricted universe multiverse
60 - 402.tsv,AGENT,and sudo apt-get update
60 - 402.tsv,AGENT,"ok, do you remember the rest of the steps? (you'll have to remove the stuff that was downloaded now, first)"
60 - 402.tsv,AGENT,"not the *old* directory, you made a *new* one, right?"
60 - 402.tsv,AGENT,do you see 'url_fclose(ofc->pb);'?
60 - 402.tsv,AGENT,change it to:   url_fclose(&ofc->pb);
60 - 402.tsv,AGENT,then save and exit (ctrl+x)
60 - 402.tsv,AGENT,"yes, that doesn't matter. just change 281"
60 - 402.tsv,AGENT,"yes, that's right"
60 - 402.tsv,AGENT,now do 'dpkg-buildpackage -b -uc' (while you're in the directory zoneminder-1.23.3)
60 - 402.tsv,AGENT,"ah wait, i forgot to make you get the build dependencies"
60 - 402.tsv,AGENT,first do 'sudo apt-get build-dep zoneminder'
60 - 402.tsv,AGENT,then 'dpkg-build-package -b -uc'
60 - 402.tsv,AGENT,"yes, that's correct"
60 - 402.tsv,CUSTOMER,do you have a hardy build
60 - 402.tsv,AGENT,we don't want actual binary packages to be downloaded from intrepid repositories
60 - 402.tsv,CUSTOMER,ok
60 - 402.tsv,AGENT,"yes, but you really shouldn't take binary packages from strangers. anyway, we're nearly done"
60 - 402.tsv,AGENT,"but you would have installed it from the upstream source, which can be a bad idea"
60 - 402.tsv,AGENT,"that would not have worked, build-dep gets the dependencies to *compile*, not the ones to run the *binary* .deb package"
60 - 402.tsv,CUSTOMER,thanks for helping i run that one command inside the zoneminder direcotry right
60 - 402.tsv,AGENT,"yes, 'dpkg-buildpackage -b -uc'. then if you 'cd ..', you should find a .deb package ready to be installed with gdebi or dpkg -i in that directory."
60 - 402.tsv,AGENT,"for your information, if there hadn't been this little difficulty with line 281, you'd just have done 'apt-get build-dep packagename ; apt-get --build source packagename', and you'd have found yourself with a working .deb immediately"
60 - 402.tsv,AGENT,we had to complicate that a little because of having to edit the sourcecode
60 - 402.tsv,CUSTOMER,ya im glad b/c the old version is buggy
60 - 402.tsv,AGENT,has it finished compiling? i need to go away soon
60 - 402.tsv,CUSTOMER,it is still compiling this is on a somewhat slower box
60 - 402.tsv,AGENT,"you can just use gdebi to install it, that will get the dependencies too"
60 - 402.tsv,AGENT,"uhm i'm sorry but i just have to go now, you may have to edit debian/zoneminder.substvars and change the dependencies..."
60 - 402.tsv,CUSTOMER,dern
60 - 166.tsv,CUSTOMER,ok
60 - 166.tsv,CUSTOMER,o ok
60 - 166.tsv,CUSTOMER,ok
60 - 166.tsv,CUSTOMER,i tied using livecd but that doenst work
60 - 166.tsv,CUSTOMER,so ima re-install it using wubi since i just uninstalled it
60 - 166.tsv,CUSTOMER,nope
60 - 166.tsv,CUSTOMER,i made the cd i mean but instead i just get a black screen
60 - 166.tsv,CUSTOMER,i hear some music like the bongos
60 - 166.tsv,CUSTOMER,after that im done
60 - 166.tsv,CUSTOMER,"ok with the live cd u mean the three options demo installition , installtion, and more about ubuntu"
60 - 166.tsv,AGENT,use the person's nick that your talking to when responding so your message won't get lost in the noise.. just type the first few characters of the nick and hit TAB for easy completion.
60 - 166.tsv,AGENT,you didn't use tab.. my nick got misspelled :) .. (that's a smiley face)
60 - 166.tsv,AGENT,yes
60 - 166.tsv,CUSTOMER,"ok good i put the cd in and i get three otoptins which are demo and full installtion, install inside windows, and learn more"
60 - 166.tsv,CUSTOMER,which 1 to chose?
60 - 166.tsv,CUSTOMER,im still on my orignal Os windows ep
